Model Name,Sequence Size,MAE,MSE,Sequence Accuracy (toler. 25),Book Accuracy (toler. 25),included_branches,embedding_dim,count_conv1D,conv1D_1_filters,conv1D_1_kernel,pool_size,dense_units_branch,dense_units,dropout
Model 1,5000,22.534990310668945,999.6569213867188,67.10158434296365,66.66666666666666,A,40,3,32,21,2,32,64,0.4
Model 2,5000,55.54876327514648,5284.76953125,29.91612301957129,24.637681159420293,B,40,3,32,21,2,32,64,0.4
Model 3,5000,29.25170516967773,1455.1138916015625,50.69897483690588,46.3768115942029,A,100,3,32,21,2,32,64,0.4
Model 4,5000,23.184690475463867,1055.8951416015625,65.70363466915191,69.56521739130434,A,40,3,32,21,2,32,64,0.4
Model 5,5000,22.528282165527344,999.3289794921876,67.10158434296365,66.66666666666666,A,40,3,64,21,2,32,64,0.4
Model 6,5000,21.81465530395508,898.3553466796875,68.4063373718546,72.46376811594203,A,40,3,128,21,2,32,64,0.4
Model 7,5000,26.68285179138184,1233.018310546875,57.40913327120224,57.971014492753625,"A,C,D",40,3,128,21,2,32,64,0.4
Model 8,5000,24.12337684631348,1052.6082763671875,61.04380242311277,59.42028985507246,"A,C,D",40,3,128,21,2,32,64,0.4
Model 9,5000,22.21554374694824,1000.4196166992188,68.4995340167754,66.66666666666666,A,40,3,32,21,2,32,64,0.4
Model 10,5000,20.84699440002441,832.2020263671875,70.36346691519105,76.81159420289855,"A,C,D",40,3,32,21,2,32,64,0.4
Model 11,5000,23.228864669799805,1051.96826171875,65.70363466915191,71.01449275362319,"A,C,D",40,3,32,21,2,32,64,0.4
Model 12,5000,20.918386459350582,835.2366943359375,70.82945013979497,72.46376811594203,A,40,3,16,3,2,32,64,0.4
Model 13,5000,20.873214721679688,820.3906860351562,70.54986020503262,71.01449275362319,"A,C,D",40,3,16,3,2,32,64,0.4
Model 14,5000,21.8154354095459,911.4119873046876,68.77912395153774,71.01449275362319,"A,C,D",40,3,65,21,2,32,64,0.4
Model 15,5000,24.156917572021484,1109.3206787109375,62.81453867660765,65.21739130434783,A,40,3,65,21,2,32,64,0.4
Model 16,5000,21.29848289489746,868.2433471679688,69.89748369058714,76.81159420289855,A,40,3,65,3,2,32,64,0.4
Model 17,5000,22.302631378173828,922.411376953125,67.66076421248836,72.46376811594203,A,40,3,33,3,2,32,64,0.4
Model 18,5000,20.938825607299805,814.3167724609375,70.36346691519105,68.11594202898551,"A,C,D",40,3,33,3,2,32,64,0.4
